ome;frfe
0;0,325359
0,1;0,20583
0,2;0,147378
0,3;0,124446
0,4;0,121784
0,5;0,120667
0,6;0,112161
0,7;0,111151
0,8;0,116738
0,9;0,117029
1;0,111219
1,1;0,109807
1,2;0,111966
1,3;0,106576
1,4;0,101721
1,5;0,0973496
1,6;0,0964183
1,7;0,0917149
1,8;0,0853861
1,9;0,0805097
2;0,0720643
2,1;0,0690059
2,2;0,0642509
2,3;0,0511696
2,4;0,0426531
2,5;0,0277008
2,6;0,0123125
2,7;0,0166826
2,8;0,0425769
2,9;0,0741039
3;0,117168
3,1;0,156796
3,2;0,183374
3,3;0,170949
3,4;0,134561
3,5;0,105072
3,6;0,0982398
3,7;0,0908558
3,8;0,0812318
3,9;0,0768446
4;0,0724876
4,1;0,0685627
4,2;0,065765
4,3;0,0642451
4,4;0,0627355
4,5;0,0623391
4,6;0,0634744
4,7;0,0605399
4,8;0,0573764
4,9;0,0548375
5;0,0549055
5,1;0,0552526
5,2;0,0550745
5,3;0,0554634
5,4;0,0549957
5,5;0,0547193
5,6;0,053907
5,7;0,052677
5,8;0,0528449
5,9;0,0514579
6;0,0511047
6,1;0,049998
6,2;0,0494623
6,3;0,0490098
6,4;0,0488569
6,5;0,0476474
6,6;0,0477002
6,7;0,0480974
6,8;0,0472798
6,9;0,0468003
7;0,0445655
7,1;0,0439924
7,2;0,0438062
7,3;0,0440719
7,4;0,0434368
7,5;0,043231
7,6;0,0429982
7,7;0,0423918
7,8;0,0421181
7,9;0,0420202
8;0,0422226
8,1;0,0430932
8,2;0,0438893
8,3;0,0434439
8,4;0,04322
8,5;0,043384
8,6;0,0437392
8,7;0,0438131
8,8;0,0442371
8,9;0,044813
9;0,0456946
9,1;0,0458327
9,2;0,0458879
9,3;0,0463829
9,4;0,047167
9,5;0,0468516
9,6;0,0473249
9,7;0,047827
9,8;0,0484481
9,9;0,0488634
10;0,0496146
10,1;0,0505774
10,2;0,0522513
10,3;0,053079
10,4;0,0535192
10,5;0,053782
10,6;0,0545788
10,7;0,0560427
10,8;0,057304
10,9;0,0582569
11;0,0594219
11,1;0,0608172
11,2;0,0624917
11,3;0,0635132
11,4;0,0650581
11,5;0,0664783
11,6;0,067381
11,7;0,0684608
11,8;0,0697438
11,9;0,0710815
12;0,0723239
12,1;0,0740087
12,2;0,0754155
12,3;0,0775297
12,4;0,0797062
12,5;0,0822726
12,6;0,0852087
12,7;0,0879547
12,8;0,0896964
12,9;0,0915032
13;0,0933467
13,1;0,0962011
13,2;0,0989507
13,3;0,102943
13,4;0,105253
13,5;0,108707
13,6;0,11139
13,7;0,114819
13,8;0,118676
13,9;0,122752
14;0,128047
14,1;0,134727
14,2;0,139972
14,3;0,143012
14,4;0,145399
14,5;0,14804
14,6;0,151978
14,7;0,155169
14,8;0,158998
14,9;0,165685
15;0,173457
15,1;0,18078
15,2;0,188056
15,3;0,196085
15,4;0,204509
15,5;0,21285
15,6;0,22183
15,7;0,231784
15,8;0,242801
15,9;0,253828
16;0,265867
16,1;0,279656
16,2;0,293791
16,3;0,309818
16,4;0,328747
16,5;0,349755
16,6;0,372326
16,7;0,397997
16,8;0,427338
16,9;0,459985
17;0,498114
17,1;0,543105
17,2;0,59564
17,3;0,657503
17,4;0,731404
17,5;0,822914
17,6;0,938866
17,7;1,0857
17,8;1,27911
17,9;1,54595
18;1,9319
18,1;2,52705
18,2;3,50194
18,3;5,11167
18,4;6,36157
18,5;4,31641
18,6;2,81075
18,7;2,04236
18,8;1,59391
18,9;1,31559
19;1,13147
19,1;0,999415
19,2;0,89712
19,3;0,813448
19,4;0,744889
19,5;0,688299
19,6;0,639717
19,7;0,59741
19,8;0,560652
19,9;0,528926
20;0,501204
20,1;0,475888
20,2;0,453124
20,3;0,433024
20,4;0,415307
20,5;0,39917
20,6;0,384716
20,7;0,371233
20,8;0,359657
20,9;0,349242
21;0,338258
21,1;0,328406
21,2;0,320174
21,3;0,312648
21,4;0,305022
21,5;0,298393
21,6;0,292425
21,7;0,286237
21,8;0,279976
21,9;0,274558
22;0,269245
22,1;0,264291
22,2;0,259388
22,3;0,254849
22,4;0,25077
22,5;0,246835
22,6;0,243382
